"pathway_id","pathway_description","NES","p.adjust","direction","n_core_genes","n_ko_hits","ko_genes_hit","ko_ranks_hit","ko_scores_hit","ko_modules_hit"
"GO:0045637","regulation of myeloid cell differentiation",1.71472697391527,0.000603117634887658,"activated",67,4,"HIF1A; TRIB1; PRKDC; ACVR1B","1; 14; 46; 155","3.18; 1.991; 1.313; 0.13","signalling; signalling; uncharacterised; uncharacterised"
"GO:0072539","T-helper 17 cell differentiation",1.7122026506641,0.0329135371620767,"activated",20,2,"STAT5A; SOCS3","96; 103","0.63; 0.563","signalling; signalling"
"GO:1903037","regulation of leukocyte cell-cell adhesion",1.70627755958227,1.40672095011942e-05,"activated",154,6,"IL10; HLX; CD86; CD46; TIGIT; STAT5A","36; 47; 57; 63; 75; 96","1.539; 1.312; 1.164; 1.069; 0.914; 0.63","immune; uncharacterised; immune; uncharacterised; immune; signalling"
"GO:0043380","regulation of memory T cell differentiation",1.70575618094622,0.0443357624962329,"activated",6,1,"CD46","63","1.069","uncharacterised"
"GO:0006397","mRNA processing",1.69766427416493,7.0955922853332e-06,"activated",131,1,"RPRD1A","110","0.514","uncharacterised"
"GO:0046488","phosphatidylinositol metabolic process",1.69687286605955,0.00386573593384595,"activated",50,1,"PIK3R5","154","0.137","immune"
"GO:0007159","leukocyte cell-cell adhesion",1.69591797922971,9.7672594612783e-06,"activated",168,7,"IL10; HLX; CD86; CD46; TIGIT; STAT5A; F11R","36; 47; 57; 63; 75; 96; 97","1.539; 1.312; 1.164; 1.069; 0.914; 0.63; 0.614","immune; uncharacterised; immune; uncharacterised; immune; signalling; uncharacterised"
"GO:0042113","B cell activation",1.6957128022152,0.000180450239405224,"activated",99,6,"IRS2; GPR183; IL10; PRKDC; CD86; FCRL1","26; 35; 36; 46; 57; 127","1.728; 1.552; 1.539; 1.313; 1.164; 0.341","signalling; uncharacterised; immune; uncharacterised; immune; immune"
"GO:0048013","ephrin receptor signaling pathway",1.69562417743722,0.0337535372580755,"activated",14,2,"KALRN; SIPA1L1","106; 135","0.536; 0.273","uncharacterised; uncharacterised"
"GO:0097696","cell surface receptor signaling pathway via STAT",1.69377994042701,0.00310469770012532,"activated",48,3,"IL10; STAT5A; SOCS3","36; 96; 103","1.539; 0.63; 0.563","immune; signalling; signalling"
"GO:0071347","cellular response to interleukin-1",1.69136324435304,0.013796596826993,"activated",39,3,"HIF1A; RPS6KA5; IKBKB","1; 23; 39","3.18; 1.774; 1.464","signalling; signalling; signalling"
"GO:2000316","regulation of T-helper 17 type immune response",1.69014820947652,0.0415390905321854,"activated",18,1,"STAT5A","96","0.63","signalling"
"GO:1903311","regulation of mRNA metabolic process",1.68991084587534,0.0001568109284049,"activated",95,1,"BTG2","119","0.424","apoptosis"
"GO:0032814","regulation of natural killer cell activation",1.68986311840087,0.0415390905321854,"activated",12,1,"KLRD1","45","1.32","immune"
"GO:0033077","T cell differentiation in thymus",1.68679471116085,0.0114950701633351,"activated",38,1,"PRKDC","46","1.313","uncharacterised"
"GO:0050729","positive regulation of inflammatory response",1.68616848878352,0.00292465316246943,"activated",53,1,"PLA2G7","81","0.872","immune"
"GO:0051898","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",1.68577659599874,0.0304006090011075,"activated",22,1,"PIK3IP1","9","2.166","signalling"
"GO:0050864","regulation of B cell activation",1.68408220863003,0.00566564422768184,"activated",49,3,"IRS2; GPR183; IL10","26; 35; 36","1.728; 1.552; 1.539","signalling; uncharacterised; immune"
"GO:2000106","regulation of leukocyte apoptotic process",1.6837231443235,0.0159323991525433,"activated",38,5,"HIF1A; IRS2; IL10; RAPGEF2; MERTK","1; 26; 36; 62; 85","3.18; 1.728; 1.539; 1.079; 0.811","signalling; signalling; immune; signalling; immune"
"GO:0002275","myeloid cell activation involved in immune response",1.68340850190579,0.00918945516494098,"activated",38,2,"SNAP23; PTGDR","112; 145","0.51; 0.212","uncharacterised; uncharacterised"
"GO:0008360","regulation of cell shape",1.68160349109147,0.00457083450176006,"activated",58,3,"RHOU; F11R; DNMBP","66; 97; 161","1.041; 0.614; 0.111","uncharacterised; uncharacterised; uncharacterised"
"GO:2000514","regulation of CD4-positive, alpha-beta T cell activation",1.68043375441752,0.015549951379992,"activated",38,3,"HLX; CD86; STAT5A","47; 57; 96","1.312; 1.164; 0.63","uncharacterised; immune; signalling"
"GO:0010563","negative regulation of phosphorus metabolic process",1.67964927227838,0.00034014085819076,"activated",81,3,"TRIB1; IRS2; PRKDC","14; 26; 46","1.991; 1.728; 1.313","signalling; signalling; uncharacterised"
"GO:0045936","negative regulation of phosphate metabolic process",1.67964927227838,0.00034014085819076,"activated",81,3,"TRIB1; IRS2; PRKDC","14; 26; 46","1.991; 1.728; 1.313","signalling; signalling; uncharacterised"
"GO:0002700","regulation of production of molecular mediator of immune response",1.67810092995465,0.00222468365515991,"activated",72,2,"IL10; CD86","36; 57","1.539; 1.164","immune; immune"
"GO:0140467","integrated stress response signaling",1.67293608888926,0.0406805507898787,"activated",15,1,"PPP1R15A","143","0.215","signalling"
"GO:1990868","response to chemokine",1.67287126231173,0.0119526382546441,"activated",34,1,"HIF1A","1","3.18","signalling"
"GO:1990869","cellular response to chemokine",1.67287126231173,0.0119526382546441,"activated",34,1,"HIF1A","1","3.18","signalling"
"GO:0001892","embryonic placenta development",1.6719742726003,0.0134910176042816,"activated",21,3,"HIF1A; IL10; SOCS3","1; 36; 103","3.18; 1.539; 0.563","signalling; immune; signalling"
"GO:0051057","positive regulation of small GTPase mediated signal transduction",1.67189109875431,0.0307224722827763,"activated",26,2,"F11R; AUTS2","97; 98","0.614; 0.603","uncharacterised; epigenetic"
"GO:0031400","negative regulation of protein modification process",1.67076175733474,0.000180450239405224,"activated",104,3,"TRIB1; PRKDC; TPPP","14; 46; 80","1.991; 1.313; 0.879","signalling; uncharacterised; uncharacterised"
"GO:0002761","regulation of myeloid leukocyte differentiation",1.66741022211169,0.0100893014547363,"activated",42,1,"TRIB1","14","1.991","signalling"
"GO:0045576","mast cell activation",1.66416754482624,0.0157177858271178,"activated",24,2,"SNAP23; PTGDR","112; 145","0.51; 0.212","uncharacterised; uncharacterised"
"GO:0031122","cytoplasmic microtubule organization",1.66091495392516,0.0298265140013183,"activated",27,1,"TPPP","80","0.879","uncharacterised"
"GO:0034605","cellular response to heat",1.65891908297376,0.0337535372580755,"activated",17,1,"DNAJB1","132","0.287","apoptosis"
"GO:0032732","positive regulation of interleukin-1 production",1.65382105252047,0.0325971861877731,"activated",30,1,"PANX2","99","0.599","uncharacterised"
"GO:0046651","lymphocyte proliferation",1.65380481531095,0.00024030395274444,"activated",118,5,"IRS2; GPR183; IL10; CD86; CD46","26; 35; 36; 57; 63","1.728; 1.552; 1.539; 1.164; 1.069","signalling; uncharacterised; immune; immune; uncharacterised"
"GO:0051092","positive regulation of NF-kappaB transcription factor activity",1.653231038944,0.0119022159948787,"activated",57,2,"RPS6KA5; IKBKB","23; 39","1.774; 1.464","signalling; signalling"
"GO:0030522","intracellular receptor signaling pathway",1.64853597501514,5.97222536397604e-05,"activated",125,5,"NCOA2; IKBKB; PRKDC; NR4A2; VPS18","22; 39; 46; 94; 141","1.79; 1.464; 1.313; 0.675; 0.229","epigenetic; signalling; uncharacterised; apoptosis; uncharacterised"
"GO:0006903","vesicle targeting",1.64713220089743,0.040960771485758,"activated",34,2,"ARFGAP3; SNAP23","38; 112","1.501; 0.51","uncharacterised; uncharacterised"
"GO:0070661","leukocyte proliferation",1.63920443067142,0.000206539057068584,"activated",132,5,"IRS2; GPR183; IL10; CD86; CD46","26; 35; 36; 57; 63","1.728; 1.552; 1.539; 1.164; 1.069","signalling; uncharacterised; immune; immune; uncharacterised"
"GO:0032943","mononuclear cell proliferation",1.6379502166105,0.000674457922777307,"activated",120,5,"IRS2; GPR183; IL10; CD86; CD46","26; 35; 36; 57; 63","1.728; 1.552; 1.539; 1.164; 1.069","signalling; uncharacterised; immune; immune; uncharacterised"
"GO:0045582","positive regulation of T cell differentiation",1.63755103787589,0.0142034938046733,"activated",51,3,"HLX; CD86; CD46","47; 57; 63","1.312; 1.164; 1.069","uncharacterised; immune; uncharacterised"
"GO:0072676","lymphocyte migration",1.63360075541531,0.0166202686551357,"activated",46,2,"GPR183; F11R","35; 97","1.552; 0.614","uncharacterised; uncharacterised"
