gene_symbol	Ctrl
ANAPC7	6.424532162162161
ANG	5.377743243243245
ANGEL1	4.71632108108108
ANGEL2	8.890117027027028
ANGPT1	5.1166294594594595
ANGPT2	4.336594594594594
ANGPT4	6.316265945945947
ANGPTL1	3.519630270270271
ANGPTL2	5.233350810810811
ANGPTL3	3.642566756756756
ANGPTL4	5.797808648648649
ANGPTL6	5.575493783783783
ANGPTL7	4.501171621621622
ANK1	4.934944864864866
ANK2	3.632455135135134
ANK3	6.712741621621622
ANKDD1A	5.493343513513514
ANKEF1	5.056711081081081
ANKFN1	5.689067027027029
ANKFY1	6.271008918918918
ANKH	8.194848108108108
ANKHD1	5.96414
ANKIB1	8.500539729729729
ANKLE2	6.2500367567567565
ANKMY1	6.012580810810811
ANKMY2	8.546348918918918
ANKRA2	8.72913135135135
ANKRD1	3.969281891891891
ANKRD10	8.19673918918919
ANKRD10-IT1	8.178364324324324
ANKRD11	6.837762972972973
ANKRD12	8.462415675675675
ANKRD13A	7.632660810810811
ANKRD13B	5.720274864864864
ANKRD13C	6.2453829729729735
ANKRD13D	6.494968918918919
ANKRD16	5.358500540540541
ANKRD17	9.052782162162162
ANKRD18A	4.785684864864865
ANKRD18B	4.849320810810811
ANKRD19P	5.978359459459458
ANKRD2	4.94815864864865
ANKRD20A1	3.2653564864864872
ANKRD20A11P	7.2713835135135145
ANKRD20A12P	4.359696216216216
ANKRD22	6.61114054054054
ANKRD23	5.514685675675676
ANKRD24	5.325798648648648
ANKRD26	4.957066486486486
ANKRD27	8.45124945945946
ANKRD28	6.143735675675676
ANKRD29	3.9466986486486486
ANKRD30A	3.5401894594594587
ANKRD30BL	4.588472702702702
ANKRD32	6.896769189189189
ANKRD33	4.551396216216217
ANKRD33B	6.683083783783783
ANKRD34A	5.387190540540541
ANKRD34C	4.139276486486487
ANKRD35	5.389812432432433
ANKRD36	5.846952162162163
ANKRD36B	8.168939459459457
ANKRD36BP2	3.4569405405405416
ANKRD37	6.36651837837838
ANKRD39	5.534565675675674
ANKRD40	7.908593513513514
ANKRD44	5.227761351351352
ANKRD45	3.7220181081081076
ANKRD46	6.939942702702701
ANKRD49	9.053187027027024
ANKRD50	6.57740837837838
ANKRD52	6.85633
ANKRD53	4.179696216216215
ANKRD54	6.709551621621623
ANKRD55	7.600617837837839
ANKRD6	4.648924324324325
ANKRD60	4.88049864864865
ANKRD7	3.696388648648649
ANKRD9	5.754097297297299
ANKS1A	8.245484594594595
ANKS1B	4.7255291891891895
ANKS3	6.28650810810811
ANKS4B	4.971651081081083
ANKS6	5.9762075675675685
ANKZF1	7.6956481081081085
ANLN	3.218978648648649
ANO1	3.4970267567567572
ANO10	6.8668427027027015
ANO2	4.951889459459459
ANO3	3.9267867567567567
ANO4	5.023453513513513
ANO5	4.556481891891892
ANO6	8.773706216216215
ANO7	6.841024054054053
ANO9	6.310727027027027
ANP32A	7.947725945945944
ANP32A-IT1	4.601000810810811
ANP32B	10.348798108108113
ANP32C	4.828306756756756
ANP32D	3.981251081081081
ANP32E	8.33957972972973
ANPEP	9.587395135135134
ANTXR1	6.546723783783783
ANTXR2	8.501090270270268
ANXA1	6.248791621621623
ANXA10	4.5945848648648635
ANXA11	11.25789783783784
ANXA13	5.205464594594595
ANXA2	11.593057027027026
ANXA2P1	4.919914594594594
ANXA2P2	9.752855135135135
ANXA2P3	6.143407567567566
ANXA2R	7.780412972972973
ANXA3	8.247285675675677
ANXA4	8.833040810810811
ANXA5	10.845381081081081
ANXA6	9.25612108108108
ANXA7	10.445049729729732
ANXA8	6.144535675675675
ANXA9	4.574690270270271
AOAH	8.884835405405402
AOC1	4.768357297297297
AOC2	6.259236486486486
AOC3	6.536926486486487
AOC4P	5.7373291891891895
AOX1	4.145063513513514
AP000230.1	5.683216756756756
AP000265.1	4.111172702702703
AP000347.2	5.8975
AP000462.1	4.869365135135134
AP000525.9	6.108844864864864
AP000696.2	5.5756429729729735
AP001062.7	5.471349729729729
AP001171.1	6.001485675675675
AP001347.6	4.229094594594595
AP001630.5	5.606822972972972
AP006216.10	4.182254324324324
AP006216.12	4.739103783783785
AP1AR	5.831620000000001
AP1B1	7.069303783783783
AP1G1	6.821957837837838
AP1G2	8.704698378378378
AP1M1	8.36445864864865
AP1M2	6.303813513513514
AP1S1	5.077892432432433
AP1S2	9.511436216216218
AP1S3	3.6126454054054045
AP2A1	5.625712162162162
AP2A2	7.734099459459459
AP2B1	7.1604848648648645
AP2M1	9.199357297297295
AP2S1	8.666569459459463
AP3B1	6.185745135135136
AP3B2	4.8736805405405415
AP3D1	5.680809729729729
AP3M1	7.333355405405404
AP3M2	7.505356486486486
AP3S1	10.662896486486485
AP3S2	8.639085945945945
AP4B1	8.219622702702704
AP4E1	6.90801162162162
AP4M1	5.707965135135136
AP4S1	7.652394054054052
AP5B1	7.054189189189189
AP5M1	5.669533513513513
AP5S1	7.116967567567568
AP5Z1	6.673584054054053
APAF1	7.365469189189189
APBA1	5.615098108108109
APBA2	7.006544054054056
APBA3	6.772772162162164
APBB1	6.1399802702702715
APBB1IP	7.850285405405405
APBB2	4.754706756756757
APBB3	7.25391
APC	5.647229729729729
APC2	5.931020270270269
APCDD1	4.956092972972973
APCDD1L	5.479610270270271
APCS	4.9631624324324335
APEH	7.793229729729729
APEX1	9.966412972972973
APEX2	6.534043513513515
APH1A	8.518982162162162
APH1B	7.442424594594593
API5	5.533444054054054
APIP	7.628970270270269
APITD1	5.012775945945946
APLF	3.504492972972973
APLN	6.083093783783785
APLNR	5.500034054054052
APLP1	5.366717567567568
APLP2	9.064035405405406
APMAP	10.017396216216216
APOA1	5.6683086486486465
APOA1BP	7.727814594594596
APOA2	4.1275321621621615
APOA4	5.947882972972973
APOA5	6.945142972972972
APOB	4.608898648648649
APOBEC1	4.716672972972972
APOBEC2	5.997308378378379
APOBEC3A	10.713445945945947
APOBEC3B	5.894611891891892
APOBEC3C	7.876377567567568
APOBEC3F	6.149850000000001
APOBEC3G	10.05166918918919
APOBR	8.382683243243243
APOC1	5.671324054054053
APOC2	5.760928378378377
APOC3	4.779608648648651
APOD	5.647272162162163
APOE	5.604776486486488
APOF	3.7349110810810813
APOH	5.157028648648648
APOL1	6.994361351351352
APOL2	8.413137027027025
APOL3	8.009643243243245
APOL4	4.796451081081081
APOL5	5.1904037837837835
APOL6	5.588521891891892
