"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0001818","negative regulation of cytokine production",277,0.353395884359869,1.53047783446336,0.000598852341069991,0.00800851341148914,0.00604116826771828,6595,"tags=39%, list=21%, signal=31%","CMKLR1/ATP2B1/BCL3/ZFP36/HAVCR2/DDIT3/PTGER4/TLR6/TLR4/EZR/REL/PDCD4/KAT8/APPL2/IL10/MERTK/NLRP3/TBX21/QKI/RAD21/TNFAIP3/PPM1B/HLA-DRB1/TRIM27/RPS6KA5/NOD2/PRNP/TIGIT/HLA-F/KLF2/VSIG4/CRYBA1/F2RL1/ELF4/NPLOC4/RNF216/INPP5D/TLR8/LAPTM5/KLF4/ITCH/AKAP8/CUL3/EXTL3/NLRP12/IRGM/PTPRC/MAP2K5/KAT5/IL6R/ADCY7/DICER1/SFTPD/SLAMF1/THBS1/RAC1/IL1R2/BCL6/NCKAP1L/SERPINB1/LILRB1/TRAF3IP1/PTPN6/GPR174/NR1H4/CLEC4A/CD84/CD96/SOCS5/ARRB2/NLRP6/SLC11A1/ATG5/LILRB4/GATA3/CSK/CR1/NLRC3/CARD16/CARD8/N4BP1/XCL1/FCGR2B/CYLD/ZNF683/MEFV/JAK3/IL20RB/CD83/BTK/PML/HGF/HFE/LILRA4/CCR7/OTUD5/RPS6KA4/PPARA/BANK1/GBP1/SIRPA/ANGPT1/RNF125/IRAK3/GPR18/PSG9/PTPN22/MAPKBP1"
"GO:0009123","nucleoside monophosphate metabolic process",71,-0.486240333340419,-1.74711416812561,0.000602608588276995,0.00804130291499497,0.00606590280931366,5282,"tags=37%, list=16%, signal=31%","AK7/TJP2/UCK1/ADA/ADK/PRPS1/ADSL/PAICS/AK2/CARD11/DCK/GART/NUDT2/GMPS/NT5C1A/CMPK1/DTYMK/UCK2/CMPK2/MPP1/GUK1/DUT/TK1/TYMS/NT5M/PNP"
"GO:0034138","toll-like receptor 3 signaling pathway",25,0.661515947891279,1.92835426739831,0.000610087405510623,0.00810601046330387,0.00611471451348896,6677,"tags=64%, list=21%, signal=51%","PELI1/HAVCR2/RFTN1/IKBKB/TRAF6/TNFAIP3/F2RL1/TNIP2/TICAM1/FLOT1/WDFY1/TLR3/UNC93B1/HCFC2/PTPN22/TIRAP"
"GO:0006122","mitochondrial electron transport, ubiquinol to cytochrome c",11,-0.810221218265975,-1.89937822015126,0.0006089550824215,0.00810601046330387,0.00611471451348896,3227,"tags=91%, list=10%, signal=82%","CYCS/UQCRC1/CYTB/UQCRB/UQCRFS1/CYC1/UQCRQ/UQCRH/UQCR10/UQCR11"
"GO:0031055","chromatin remodeling at centromere",10,-0.824599925577652,-1.88960992641299,0.000618756828901631,0.00818591384158488,0.00617498908987442,5575,"tags=90%, list=17%, signal=74%","ITGB3BP/NASP/CENPI/MIS18A/CENPA/CENPN/OIP5/CENPW/HJURP"
"GO:0034080","CENP-A containing chromatin assembly",10,-0.824599925577652,-1.88960992641299,0.000618756828901631,0.00818591384158488,0.00617498908987442,5575,"tags=90%, list=17%, signal=74%","ITGB3BP/NASP/CENPI/MIS18A/CENPA/CENPN/OIP5/CENPW/HJURP"
"GO:0009147","pyrimidine nucleoside triphosphate metabolic process",21,-0.697583470676087,-1.93197868226683,0.000635419754528366,0.00835883194343135,0.0063054286978409,2444,"tags=48%, list=8%, signal=44%","NME1/NME2/DCTPP1/DTYMK/UCK2/CMPK2/NME4/DUT/TBPL1/TYMS"
"GO:0071378","cellular response to growth hormone stimulus",27,0.626414744467766,1.85371541433238,0.000634221004210301,0.00835883194343135,0.0063054286978409,3670,"tags=52%, list=11%, signal=46%","STAT5A/LEPROTL1/PXN/JAK1/PIK3R1/LYN/STAT6/PTPN1/STAT3/TYK2/STAT5B/CSH1/MBD5/SHOC2"
"GO:0043122","regulation of canonical NF-kappaB signal transduction",284,0.344099679987778,1.49403024482129,0.000635894919946359,0.00835883194343135,0.0063054286978409,5217,"tags=35%, list=16%, signal=30%","PELI1/HMOX1/TRIM38/PDPK1/LITAF/IL1B/RIPK2/NFAT5/TLR6/CASP8/RELA/TLR4/REL/CHUK/IKBKB/AKAP13/TRIM34/TRIM25/CLEC6A/FASLG/TRAF6/NFKBIA/SECTM1/TNFAIP3/TRIM68/PPM1B/FKBP1A/HLA-DRB1/CLEC4D/TNFRSF1A/ZFAND6/CD74/NOD2/MAP3K3/TNFRSF19/STAT3/ALPK1/CANT1/SNIP1/TNFRSF10B/TRIM22/F2RL1/IRAK4/ZNF675/TNIP2/MIER1/CLEC7A/PRKCE/TRIM8/TRIM39/TLR8/KLF4/TRADD/CFLAR/TMEM106A/FLOT2/ANKRD17/NLRP12/PER1/IRGM/MAP2K5/VAPA/RBCK1/RNF31/LTBR/NR1H4/UFL1/BCL10/ABL1/PELI2/ARRB2/TICAM1/NLRP6/FLOT1/TRAF1/TANK/TRIM52/LILRB4/TBK1/FBXW11/XIAP/TLR3/NLRC3/TRIM5/CARD16/CARD8/DDX21/PRL/C18orf32/PLCG2/CARD14/NUP62/SHISA5/CASP1/USP10/SLC44A2/WNT5A/MYD88/IFIT5/SLC20A1"
"GO:0045622","regulation of T-helper cell differentiation",47,0.552310415877559,1.84804591752385,0.00064508200000806,0.00846155431925465,0.00638291663165869,5486,"tags=51%, list=17%, signal=42%","CD86/STAT5A/CD69/RIPK2/HLX/PRKCZ/NLRP3/TBX21/HLA-DRB1/IL4R/HLA-DRA/JUNB/EP300/RC3H2/IL12RB1/BCL6/NFKBIZ/SOCS5/GATA3/OPA1/ASCL2/ZBTB7B/JAK3/MALT1"
"GO:1900117","regulation of execution phase of apoptosis",33,-0.614788889525214,-1.89684459952372,0.000662977985857636,0.008677832872213,0.00654606490450114,1957,"tags=36%, list=6%, signal=34%","CIDEA/HTRA2/MTRNR2L10/MTRNR2L2/MTRNR2L8/MTRNR2L9/MTRNR2L3/NDUFA13/BCL2L1/MTRNR2L6/MTRNR2L7/MTRNR2L1"
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle",90,-0.457373692784466,-1.7078919751261,0.000695606728260648,0.00908562601637053,0.00685368092206856,2058,"tags=32%, list=6%, signal=30%","ANAPC5/SKA3/BUB1B/TTK/MAD2L1/KNTC1/CDC16/NUF2/TRIP13/AURKB/SPC24/CDC20/ANAPC11/DLGAP5/ESPL1/SKA1/CENPE/CDCA8/FBXO5/UBE2C/CDK5RAP2/SPC25/CENPF/NDC80/CCNB1/BUB1/SMARCD3/ZWINT/BIRC5"
