"gene","t_statistic"
"XLOC_008406",1.63774869856689
"DLEC1",1.63773264802193
"SPRR2E",1.63746048740249
"TMLHE",1.63635032574663
"B3GALT5",1.6361450934419
"TTPAL",1.6361221127947
"NKX2-1",1.63556150824133
"C20orf118",1.63485668672186
"XLOC_010367",1.63434010123238
"XLOC_004685",1.63423742264815
"CDC14A",1.63384570008803
"CYP4F8",1.63377045876244
"XLOC_003073",1.63370608700497
"XLOC_l2_015196",1.63369147546987
"PIK3CA",1.63345965926686
"LAG3",1.63326546304386
"LOC100505903",1.63282597573726
"UBE2L6",1.63279962071938
"LOC400756",1.63263126768066
"XLOC_014078",1.63234055004396
"RFT1",1.6318005479102
"LOC286177",1.63104772515527
"SNORD42B",1.6308900826984
"XLOC_003547",1.63078564760692
"ZNF445",1.63044425777808
"XLOC_011436",1.63034266189071
"XLOC_l2_005644",1.63000981730839
"LOC283854",1.62994647588241
"DSN1",1.62960713568679
"ORAI3",1.6295929170106
"BACH2",1.62944065953745
"BCORL1",1.62858092583937
"TMEM170B",1.62848453804537
"CBFB",1.62818867137121
"MGC34034",1.62807004897774
"XLOC_003477",1.62758313475898
"USP7",1.62742696335859
"XRCC6",1.6273605890336
"XLOC_006288",1.62710122723052
"OR1B1",1.62665837989813
"WDR48",1.62641461844631
"LINC00246A",1.6261708452373
"MFAP4",1.6260472738037
"XLOC_010144",1.62578064121417
"FCRL1",1.62473491784574
"VWA3A",1.62468075904962
"NFXL1",1.6242957653396
"RASGRP1",1.6237933731398
"XLOC_l2_002110",1.62253005965323
"DSG1",1.62196380696647
"CACNB4",1.6219412979093
"XLOC_008108",1.62153914006152
"GFRA2",1.62134123284644
"XLOC_005034",1.62104627248002
"C19orf6",1.6209250136954
"LOC284100",1.62072103882498
"XLOC_013999",1.61982992552527
"FOXL1",1.61923489720965
"CRYBA2",1.61921735634112
"XLOC_006297",1.61919637016011
"XLOC_004755",1.61891527908491
"LOC100133306",1.61861539937971
"LOC100506189",1.61859142452716
"ZSCAN29",1.61852138704406
"LOC100507437",1.61849525562152
"XLOC_005209",1.61776469156878
